curva,sentido,Z,kappa,omega2,l1
1,1,28.00939739872517,0.47652992150531465,NaN,-0.003241809999929776
1,1,28.080082877402383,0.47520715750178477,NaN,-0.003126679147632948
1,1,28.1507685574915,0.4738921890003487,NaN,-0.003011837973509346
1,1,28.221454436780522,0.47258494664074874,NaN,-0.002897284924692982
1,1,28.292140513088484,0.47128536188764714,NaN,-0.002783018461766866
1,1,28.362826784264918,0.4699933670183378,NaN,-0.0026690370586034406
1,1,28.43351324818934,0.46870889511067004,NaN,-0.0025553392021999063
1,1,28.504199902770726,0.4674318800311984,NaN,-0.0024419233925205425
1,1,28.574886745947026,0.46616225642354037,NaN,-0.0023287881423416507
1,1,28.645573775684667,0.46489995969693304,NaN,-0.0022159319770946456
1,1,28.71626098997808,0.4636449260150045,NaN,-0.002103353434715391
1,1,28.786948386849215,0.4623970922847363,NaN,-0.0019910510654981145
1,1,28.8576359643471,0.4611563961456177,NaN,-0.001879023431942413
1,1,28.92832372054737,0.459922775958999,NaN,-0.0017672691086152645
1,1,28.99901165355183,0.458696170797624,NaN,-0.0016557866820037653
1,1,29.06969976148803,0.4574765204353452,NaN,-0.001544574750376733
1,1,29.14038804250883,0.45626376533702157,NaN,-0.0014336319236474826
1,1,29.211076494791985,0.4550578466485903,NaN,-0.0013229568232365901
1,1,29.281765116539727,0.45385870618730506,NaN,-0.001212548081937645
1,1,29.352453905978383,0.4526662864321506,NaN,-0.0011024043437868822
1,1,29.423142861357963,0.45148053051441656,NaN,-0.0009925242639338416
1,1,29.493831980951782,0.45030138220843274,NaN,-0.0008829065085082521
1,1,29.564521263056083,0.4491287859224658,NaN,-0.0007735497545026254
1,1,29.635210705989657,0.44796268668976846,NaN,-0.0006644526896403616
1,1,29.705900308093494,0.44680303015978096,NaN,-0.0005556140122586067
1,1,29.77659006773041,0.44564976258948164,NaN,-0.0004470324311831586
1,1,29.847279983284707,0.44450283083488323,NaN,-0.000338706665615196
1,1,29.91797005316182,0.4433621823426747,NaN,-0.00023063544501148586
1,1,29.988660275787993,0.44222776514199796,NaN,-0.00012281750896563776
1,1,30.059350649609936,0.4410995278363675,NaN,-1.5251607101633702e-5
1,1,30.069395046199315,0.44093971525367265,NaN,1.2037450106139325e-8
1,1,30.140085590613975,0.4398184738016858,NaN,0.00010729161012882488
1,1,30.210776283176713,0.43870330404240304,NaN,0.00021432179412490815
1,1,30.281467122184274,0.4375941563356045,NaN,0.00032110380872589495
1,1,30.352158106164765,0.43649098158072647,NaN,0.0004276388639493575
1,1,30.422849233665165,0.4353937312120897,NaN,0.0005339281603456425
1,1,30.493540503251015,0.43430235719160215,NaN,0.0006399728890996367
1,1,30.56423191350614,0.4332168120015882,NaN,0.0007457742321345037
1,1,30.63492346303237,0.4321370486377284,NaN,0.0008513333622114788
1,1,30.70561515044923,0.4310630206021177,NaN,0.0009566514430313366
1,1,30.776306974393712,0.42999468189643353,NaN,0.0010617296293283715
1,1,30.846998933519973,0.4289319870152195,NaN,0.0011665690669725656
1,1,30.91769102649908,0.427874890939274,NaN,0.0012711708930601556
1,1,30.98838325201876,0.4268233491291453,NaN,0.00137553623601009
1,1,31.05907560878313,0.4257773175187321,NaN,0.001479666215657982
