step,kappa,period,x0,y0,z0,xmin,xmax,ymin,ymax,zmin,zmax,residual,logmu1_re,logmu1_im,logmu2_re,logmu2_im,logmu3_re,logmu3_im
55,3.8070534233458915,1.541968232071638,3.716231693943074,0.7541219149260392,0.5042667081384287,0.05208712874197559,3.9871812747936284,0.1608392662199437,4.098839111049205,0.34038899786424853,1.9560958423129844,7.716050021144838e-15,-2.0317081350642427e-13,0.0,-0.7568549069986095,0.0,-8.393615867951056,0.0
56,3.752332985942395,1.5521207095556917,3.745557372454312,0.7419994419475973,0.49793531287789,0.04997866952426273,4.029368067569331,0.1564516986347397,4.16534349858704,0.33726523555904486,1.9614099450749503,7.743805596760467e-15,-2.08055794814776e-13,0.0,-0.7728222699492527,0.0,-8.358047508598643,0.0
57,3.6975987364844154,1.5623873491537743,3.7742359452226655,0.7298460248598528,0.49173445580334235,0.04798416435199492,4.071224389852829,0.15217525793579273,4.232397725344694,0.3343058986343443,1.9663164287804817,6.800116025829084e-15,-1.9795276529068497e-13,0.0,-0.7887466087836574,0.0,-8.32216459276403,0.0
58,3.642850640487013,1.5727701090310517,3.8022594826859764,0.71767239725804,0.4856676672359385,0.046098393841614425,4.112763248269383,0.14800603406191754,4.299992137651798,0.33151101817754247,1.970813374840667,7.688294445529209e-15,-2.1316282072805277e-13,0.0,-0.8046218542315317,0.0,-8.285966171209678,0.0
59,3.588088540776412,1.5832710311168263,3.8296194669009647,0.7054894038269397,0.47973868822807647,0.04431645086373752,4.153948615902573,0.1439419275341462,4.368114379177315,0.3288819842881768,1.9748881620424803,7.494005416219807e-15,-1.920685832601705e-13,0.0,-0.8204416861180317,0.0,-8.249451230925288,0.0
60,3.533312154445746,1.5938922456193632,3.856306779663328,0.6933080046464588,0.47395148329235953,0.04263372625084743,4.194756731676325,0.13997934058085718,4.436749143122004,0.3264203549191911,1.9785337359562654,7.549516567451064e-15,-1.8274270985331748e-13,0.0,-0.8361995211249877,0.0,-8.212618677298408,0.0
61,3.478521069254127,1.6046359758622974,3.882311685675072,0.6811392798783665,0.4683102545732645,0.04104576209439723,4.235167058964207,0.1361164064031207,4.505877899217488,0.3241277692796338,1.9817467722748534,9.270362255620057e-15,-1.899591595133823e-13,0.0,-0.8518884999584105,0.0,-8.175467313654206,0.0
62,3.423714739516002,1.6155045434503206,3.9076238102777916,0.6689944350678583,0.46281945757991794,0.03954857159963171,4.275193844504174,0.1323500743734409,4.575478593004782,0.3220062115909299,1.9845144811544784,7.61196661258623e-15,-2.0428103653104965e-13,0.0,-0.8675014737870046,0.0,-8.137995818003423,0.0
63,3.3688924815351116,1.6265003737700001,3.9322321111676892,0.6568848073217577,0.4574838186123321,0.03813842846884971,4.314782350456048,0.12867836758759948,4.645525314547452,0.32005769437084985,1.986828400749733,9.048317650695026e-15,-1.6786572132333775e-13,0.0,-0.8830309897804812,0.0,-8.10020271680604,0.0
64,3.314053468648143,1.6376260018287971,3.956124843391357,0.6448218726587388,0.4523083540285071,0.03681164626151459,4.353900827587897,0.12509920503492905,4.715987933379958,0.3182851095507581,1.9886796714116637,8.51402282009417e-15,-1.5976109324357277e-13,0.0,-0.898469275531241,0.0,-8.062086355576842,0.0
65,3.2591967259579633,1.6488840784311538,3.979289516787506,0.6328172548672155,0.4472983915162411,0.03556500827243739,4.392535059084744,0.12161004823129362,4.786831696094462,0.3166917809455184,1.9900589618570061,8.992806499463768e-15,-1.5343282200320842e-13,0.0,-0.9138082220877658,0.0,-8.023644866193074,0.0
66,3.204321124856107,1.6602773766847994,4.001712844886354,0.6208827362540575,0.4424595935511635,0.03439547907070883,4.430669973967157,0.11820940317928648,4.858016782526331,0.31528121322021796,1.9909564552067232,8.298917109073045e-15,-1.274536032269761e-13,0.0,-0.9290393652585317,0.0,-7.984876130736132,0.0
67,3.149425377459999,1.6718087988225032,4.023380684100228,0.6090302707239343,0.4377979832417331,0.0333001649622038,4.468237932093934,0.11489546949745089,4.929497816002598,0.31405733506879546,1.9913618339346484,6.952771691715043e-15,-9.992007221626907e-14,0.0,-0.9441538647618105,0.0,-7.945777741812437,0.0
68,3.094508031123717,1.6834813833138413,4.044277961832526,0.5972719996963386,0.4333199727826118,0.03227658061119261,4.505203283927379,0.1116665423454436,5.001223322563835,0.31302452164121497,1.9912642637468398,8.382183835919932e-15,-6.70574706873617e-14,0.0,-0.9591424806921663,0.0,-7.906346959260574,0.0
69,3.0395674632237464,1.6952983122274794,4.064388591891775,0.5856202714470865,0.42903239475990046,0.031322352504938755,4.541571693156822,0.10852100050605853,5.073179482704926,0.3121876196573328,1.9906523764252007,9.020562075079397e-15,-5.91748872125226e-14,0.0,-0.9739955466486453,0.0,-7.866580663297306,0.0
70,2.984601876475462,1.7072629187858304,4.083695375316794,0.5740876645563091,0.42494253657516956,0.030435353000655033,4.577245037710341,0.10545735488582561,5.1452816257853335,0.311551975405455,1.9895142516882014,6.994405055138486e-15,-7.771561172376126e-15,0.0,-0.9887029387150763,0.0,-7.826475304206316,0.0
71,2.9296092951049206,1.7193786950295735,4.102179884390995,0.5626870162583519,0.4210581782796684,0.029613833735224415,4.61217616892117,0.10247444084654934,5.217441941288659,0.31112346584052175,1.9878387383680454,6.786238238021269e-15,2.953193245502873e-14,0.0,-1.0032540392944145,0.0,-7.786026848798499,0.0
72,2.8745875622877253,1.7316492994777808,4.11982232724039,0.551431456624568,0.41738763413508656,0.028856115642188086,4.646364574690823,0.09957106422210309,5.289578793786976,0.3109085332409236,1.9856160053286471,6.938893903907228e-15,7.926992395823302e-14,0.0,-1.0176376945703631,0.0,-7.74523072406078,0.0
73,2.8195343393769163,1.7440785646280854,4.136601389960954,0.5403344496725477,0.41393979824204463,0.028160848800831292,4.679689586430433,0.09674616187468281,5.361621776158422,0.31091422414286096,1.9828288371426979,6.925016116099414e-15,9.570122472268392e-14,0.0,-1.0318421640904274,0.0,-7.704081758607558,0.0
74,2.764447107581093,1.7566705040878512,4.152494052696705,0.5294098426902243,0.4107241946007837,0.027527034209931796,4.712106082290921,0.09399877371383895,5.4335319092895284,0.3111482292284835,1.9794668135000548,7.722988915048745e-15,1.5742962489183478e-13,0.0,-1.0458550606255514,0.0,-7.662574122810038,0.0
75,2.709323172929862,1.7694293190580677,4.167475375477485,0.5186719252980171,0.40775103198861135,0.02695388332790123,4.743570428899634,0.09132794151508448,5.505125510381539,0.3116186905675437,1.975516442077385,6.6058269965196814e-15,2.1693757901173204e-13,0.0,-1.0596632780489181,0.0,-7.620701268880328,0.0
76,2.654159675585896,1.7823594038022637,4.181518248912666,0.5081355000548045,0.4050312640527698,0.026440918443492608,4.773950395099387,0.08873315069991726,5.576276616779802,0.3123344119654108,1.970963122154829,6.175615574477433e-15,2.504663143554039e-13,0.0,-1.0732529044761274,0.0,-7.578455872619427,0.0
77,2.5989536048435986,1.795465349617324,4.1945931040103925,0.49781596675467643,0.40257665502170054,0.02598799641486412,4.80322076180849,0.08621391442896921,5.646952148837069,0.31330573179672594,1.9657915522974263,6.5607241861442844e-15,3.279598814742174e-13,0.0,-1.0866091172996577,0.0,-7.535829779138878,0.0
78,2.5437018215089813,1.8087519466741842,4.206667574438363,0.4877294229735834,0.4003998514266787,0.025595338023507604,4.831245086824276,0.08376983726788938,5.716935419129077,0.31454341965000243,1.9599911756902546,7.313594174718219e-15,3.7947422981680646e-13,0.0,-1.0997160560125046,0.0,-7.492813955657383,0.0
79,2.4884010898033506,1.8222241829046126,4.2177061034510475,0.47789278392297824,0.3985144601915707,0.02526356398678183,4.8579297118142115,0.08140037663335374,5.786024417569636,0.3160587689576606,1.9535427980622426,5.856426454897701e-15,3.97681887420652e-13,0.0,-1.1125566678211702,0.0,-7.4493984554429025,0.0
80,2.4330481214989983,1.8358872388632457,4.227669486472872,0.4683239252693628,0.39693513338005704,0.02499373890879253,4.8831858717672025,0.07910599444370811,5.85418733225402,0.3178638485826538,1.9464318193221875,5.9396931817445875e-15,4.232170169870201e-13,0.0,-1.1251125199655354,0.0,-7.405572398246419,0.0
81,2.377639635708582,1.849746477176436,4.236514338950284,0.4590418533047122,0.39567765977157576,0.02478742473889247,4.906842417060806,0.07688625782235839,5.92108808299392,0.3199732402291256,1.9386429305849322,5.689893001203927e-15,4.30766533554468e-13,0.0,-1.1373635713594272,0.0,-7.361323974213385,0.0
82,2.3221724386483573,1.8638074247815293,4.244192477585459,0.450066907726861,0.39475906324802307,0.024646745662092993,4.9288328409740165,0.07474201482105965,5.986559013810334,0.32240064401868557,1.930160098140371,5.329070518200751e-15,3.870237463842547e-13,0.0,-1.1492878945998248,0.0,-7.316640480328763,0.0
83,2.266643528823976,1.878075745637527,4.250650201484916,0.4414210033365363,0.39419770768317997,0.02457446678018892,4.948928201163144,0.07267373324087548,6.0503953472398795,0.3251625902256831,1.9209665576609467,6.161737786669619e-15,2.784439345759505e-13,0.0,-1.1608613375289165,0.0,-7.271508401110506,0.0
84,2.2110502344993526,1.892557200920285,4.255827458182299,0.4331279182057069,0.39401340759527187,0.024573979843466983,4.967051344035976,0.07068206962027931,6.112233142650639,0.32827577162302296,1.9110448228844144,6.661338147750939e-15,8.415490526658333e-14,0.0,-1.1720571113314229,0.0,-7.225913548664937,0.0
85,2.1553903920650748,1.9072575928660664,4.2596568780762905,0.42521363734401735,0.394227543194464,0.024649711808430137,4.982941220626639,0.06876845436910929,6.171923167127945,0.3317592301341096,1.9003777818842489,1.0963452368173421e-14,-2.805533583228164e-13,0.0,-1.182845289590874,0.0,-7.179841281465416,0.0
86,2.099662576088603,1.9221826873535584,4.26206265981103,0.41770676260239575,0.39486317755676875,0.02480702335879936,4.996468402198837,0.06693444102398395,6.228967554414456,0.3356318974542752,1.8889517620835015,1.765254609153999e-14,-8.535394613321846e-13,0.0,-1.1931921998123822,0.0,-7.133276826622399,0.0
87,2.0438663944677398,1.937338108968651,4.262959288915018,0.4106390015034413,0.395945172384519,0.02505225036413002,5.007372469436752,0.06518195142160699,6.283174790431959,0.3399162350161327,1.8767443653044509,2.8699265186560297e-14,-1.7779111516363061e-12,0.0,-1.2030596857037459,0.0,-7.086205737073847,0.0
88,1.988002865269549,1.9527292006304708,4.262250073223033,0.40404574983913005,0.39750029704138173,0.02539340058474205,5.015420172130105,0.06351339316947337,6.333994309317196,0.3446350061202949,1.8637432730919905,4.6074255521943996e-14,-3.2093216972890897e-12,0.0,-1.2124042151386143,0.0,-7.038614523342481,0.0
89,1.9320748955258622,1.9683608378303523,4.2598254821657715,0.3979667851288376,0.39955732311226394,0.02583981915429223,5.02039282788243,0.061932128267482074,6.38106664965839,0.34981186409347076,1.849930550161062,7.255307465925398e-14,-5.41144906664258e-12,0.0,-1.22117580550944,0.0,-6.990491509359946,0.0
