step,kappa,period,x0,y0,z0,xmin,xmax,ymin,ymax,zmin,zmax,residual,logmu1_re,logmu1_im,logmu2_re,logmu2_im,logmu3_re,logmu3_im
24,0.8161835311285496,2.3302481459750037,0.24930595252175267,0.10368204011400395,0.8666037968841015,0.1252189671542027,3.7371005864873243,0.07427423221520413,5.238333946315727,0.6102981902195522,1.3863171240698549,2.8631513826482546e-11,2.2407631305758485e-11,0.0,-1.017280503246118,0.0,-5.984971969778996,0.0
25,0.8568182430525738,2.315774312926622,0.22828505066827046,0.09894967252340243,0.8554785404271295,0.11160278254351207,3.8702026939239063,0.06925020023909091,5.420908937745742,0.5919956556886335,1.4103248562883555,2.3221619072089084e-11,4.765365878542139e-10,0.0,-1.0588154227226205,0.0,-6.014562154907335,0.0
26,0.8996026979782796,2.300521606304393,0.20914137469271107,0.09506452489137567,0.8439536950339862,0.09949471792330855,3.998157487335718,0.06508989399198835,5.592280192597516,0.5739697058524272,1.434894930016601,1.85611248593176e-11,1.0151999236105938e-9,0.0,-1.0961835163554536,0.0,-6.047979353878511,0.0
27,0.944436789995714,2.284566161006261,0.191855787589301,0.09192998368427338,0.8320934638094515,0.08880304074699492,4.119966633845832,0.061684323216459426,5.751126495107219,0.5563063131404673,1.459905943286012,2.5973001527290762e-11,1.7398193981463508e-9,0.0,-1.129282287699028,0.0,-6.085021740894624,0.0
28,0.9911818256446259,2.2679987626356537,0.17637692450160583,0.08945947772075613,0.8199725252480073,0.07942501809306866,4.234808833461723,0.05893775084644702,5.896327407397198,0.5390939364173255,1.485214035238615,4.024858224482841e-11,2.753899993140336e-9,0.0,-1.158114551348642,0.0,-6.125389867492349,0.0
29,1.0396664127414548,2.25092076675189,0.16262415308706352,0.08757510786712712,0.8076728675789279,0.07124926502028008,4.341948092766847,0.056765855083587884,6.027019839902766,0.5224153397373075,1.5106651106427518,5.1874504691795664e-11,4.133271494295521e-9,0.0,-1.1827822504837873,0.0,-6.1687058049468915,0.0
30,1.0896957398867868,2.2334389471589415,0.15049279428643786,0.08620671187736409,0.7952798025510734,0.06415995831014765,4.440845624478058,0.05509445365763236,6.142635515675732,0.506346072327852,1.5360987419942826,5.807221370446314e-11,5.899141602236403e-9,0.0,-1.2034728063046887,0.0,-6.214539335759448,0.0
31,1.1410627943873106,2.2156600239071698,0.13986088296673818,0.08529126659096761,0.7828777470768962,0.05804016385598304,4.531163089061128,0.05385857874874032,6.242913280013388,0.49094876449232805,1.5613556816318845,5.8096416566399967e-11,8.002929176193885e-9,0.0,-1.2204398179296565,0.0,-6.262437188116169,0.0
32,1.1935597102551707,2.197685669651741,0.1305965024932029,0.0847724989554028,0.7705463940802886,0.052776013167289845,4.612812553472585,0.053001926537567905,6.328136903516249,0.47627174646192383,1.5862910200855531,5.310596407070989e-11,1.0330990676192104e-8,0.0,-1.2339809893834979,0.0,-6.311950889708271,0.0
33,1.2469876225126861,2.1796086137533144,0.12256473587677873,0.08460057861680356,0.7583577498622892,0.048259966422258646,4.685783183820639,0.05247542265601969,6.398524843979655,0.4623486455742531,1.6107737203686858,4.504752126877065e-11,1.2726755346309583e-8,0.0,-1.2444163794713388,0.0,-6.362659641472673,0.0
34,1.3011639914923385,2.161510148249329,0.11563350884835498,0.08473179561872742,0.7463742677514651,0.04439303260587212,4.7503059407849095,0.05223692879985193,6.454853196129346,0.449197908444377,1.6346905169498123,3.611733134789574e-11,1.5021357822475868e-8,0.0,-1.2520694808319517,0.0,-6.414186226689894,0.0
35,1.3559270701076565,2.1434590201460724,0.1096779447284453,0.08512817189181342,0.7346480596425595,0.04108619177521431,4.806659565776384,0.052250586704509244,6.497869381463715,0.43682366760969377,1.6579503148197534,2.7609470265588243e-11,1.706182780491786e-8,0.0,-1.2572525854640453,0.0,-6.4662056877929315,0.0
36,1.4111377655238702,2.12551146897004,0.10458318110154285,0.08575699730157842,0.7232209938317342,0.03826110681344341,4.855307209489912,0.0524858591335902,6.528437034387192,0.42522081705746256,1.6804801146079444,2.0191848193462647e-11,1.873041149069829e-8,0.0,-1.2602568173662005,0.0,-6.518447779915625,0.0
37,1.466679474726318,2.1077120690259257,0.10024583195844025,0.08659030917810775,0.7121254126025888,0.03584944548084874,4.896662104169476,0.05291725084071066,6.547517699984062,0.4143726194124132,1.7022253084421002,1.425082274408851e-11,1.995296485890733e-8,0.0,-1.261346410074002,0.0,-6.570694842449584,0.0
38,1.5224565626213515,2.0900950399055027,0.0965743947203368,0.0876043463915391,0.701385207912616,0.03379278279514806,4.931203425878673,0.053522937404068036,6.556076081718625,0.4042579688803138,1.723148955378335,9.764855590788102e-12,2.0698386790147053e-8,0.0,-1.2607563765400354,0.0,-6.622776804348915,0.0
