run,index,kappa,closure,neutral_error,transverse_modulus,BK_IVP_mu_difference
lower-n40,79,3.7903786424473576,1.1535200572510007e-10,8.050462518838231e-10,0.46686029401645796,7.991036721222144e-10
lower-n40,80,3.8451044836217294,1.0793885230064859e-10,7.34516447664646e-10,0.4743892975313363,7.304463700563701e-10
lower-n40,81,3.8998166464028126,1.007110783657339e-10,6.679976571888346e-10,0.48205581937203734,6.652349782143574e-10
lower-n40,82,3.9545148421155423,9.369471865028345e-11,6.056941614929201e-10,0.489859925964317,6.038711752864856e-10
lower-n40,83,4.009198665402527,8.689682307050361e-11,5.472051700650127e-10,0.4978016730913913,5.460212282315524e-10
lower-n40,84,4.063867594099932,8.034281573365831e-11,4.926461460996734e-10,0.5058811026116433,4.918971896472613e-10
lower-n40,85,4.1185209883073055,7.404293844714971e-11,4.419395960297834e-10,0.5140982390855087,4.414812959652181e-10
lower-n40,86,4.17315808859211,6.8002159459013e-11,3.949294224980804e-10,0.5224530862805452,3.9468694978950225e-10
lower-n40,87,4.227778013259746,6.224196158477469e-11,3.5157476929725817e-10,0.5309456235247838,3.514517565861297e-10
lower-n40,88,4.282379754607469,5.676298320267392e-11,3.116613633835641e-10,0.5395758018771483,3.1161118130285104e-10
lower-n40,89,4.3369621740653646,5.1566029224403565e-11,2.751168182157926e-10,0.548343540080097,2.7511692923809505e-10
lower-n40,90,4.391523996109128,4.6657566699082054e-11,2.4171020740482163e-10,0.5572487202570662,2.417410716049062e-10
lower-n40,91,4.446063800806945,4.2037567871133774e-11,2.1129542560061054e-10,0.5662911833115537,2.1134038963310786e-10
lower-n40,92,4.50058001483581,3.7705782940378185e-11,1.8371570931208225e-10,0.5754707239783108,1.837751062438997e-10
lower-n40,93,4.5550709007697625,3.365729916993132e-11,1.5880941006685134e-10,0.5847870854689029,1.6154799720169422e-10
lower-n40,94,4.60953454440275,2.98902014250757e-11,1.3643131069329684e-10,0.5942399536429439,1.47242995574004e-10
lower-n40,95,4.663968839820243,2.639699570039511e-11,1.1645973074791982e-10,0.6038289506237066,1.3363954387557442e-10
lower-n40,96,4.718371471874284,2.317540603868906e-11,9.84006209847621e-11,0.6135536277605155,1.2068790411490227e-10
lower-n40,97,4.772739895643386,2.0216550655760557e-11,8.259792849685255e-11,0.6234134578194428,1.0853073995065188e-10
lower-n40,98,4.827071312368129,1.7507495453372712e-11,6.860467749447707e-11,0.6334078262606988,9.710676707186394e-11
lower-n40,99,4.881362641240413,1.5040468870353152e-11,5.6231241885029704e-11,0.6435360214268161,8.638878501443514e-11
lower-n40,100,4.93561048628302,1.2810419391939831e-11,4.552180854489052e-11,0.6537972234292325,7.645006849799074e-11
lower-n40,101,4.989811097377853,1.0799305893982591e-11,3.61684016070285e-11,0.664190491470075,6.719591549853021e-11
lower-n40,102,5.043960324275002,9.001022149845994e-12,2.8208768654280902e-11,0.6747147492724548,5.871081398822753e-11
lower-n40,103,5.098053562125273,7.401079749058681e-12,2.1435520025647747e-11,0.6853687682140903,5.094447086406717e-11
lower-n40,104,5.152085686705963,5.99187366390197e-12,1.5518697438210438e-11,0.6961511476533789,4.382050278195493e-11
lower-n40,105,5.206050977024994,4.7550852144695455e-12,1.0700329511337259e-11,0.7070602918044352,3.740063814205996e-11
lower-n40,106,5.259943022353544,3.673672477333412e-12,6.6349148397648605e-12,0.7180943823416824,3.1591174121103904e-11
lower-n40,107,5.313754609897507,2.741251670101974e-12,3.291811268013589e-12,0.7292513456814297,2.644773289262048e-11
lower-n40,108,5.367477588196539,1.9418910923718613e-12,5.417888360170764e-13,0.7405288135802012,2.19065876549962e-11
lower-n40,109,5.421102699826089,1.420585871159119e-12,1.6530110613643956e-12,0.7519240752708113,1.7946755193065655e-11
lower-n40,110,5.474619374912675,1.276090344504155e-12,3.4503511159300615e-12,0.763434018790375,1.4574008666556892e-11
lower-n40,111,5.528015474120979,1.1808332089913165e-12,4.994005209368879e-12,0.7750550583697114,1.173217079042388e-11
lower-n40,112,5.5812769657823855,1.0967893260271921e-12,6.338818359097331e-12,0.7867830436593102,9.476863738200336e-12
lower-n40,113,5.634387516177098,1.0268452754758073e-12,7.642553256914653e-12,0.7986131450166589,7.808309554491188e-12
lower-n40,114,5.687327963837041,9.78550573904613e-13,9.030887149208411e-12,0.810539706849131,6.821654352506812e-12
